"","Combination","Accuracy","Sensitivity","Specificity"
"1","euro_d >= 2 ~ yes, euro_d < 1 ~ no",0.708172055549077,0.687647058823529,0.713189018677531
"2","euro_d >= 2 ~ yes, euro_d < 2 ~ no",0.712711735071888,0.69322219488189,0.72166215414765
"3","euro_d >= 3 ~ yes, euro_d < 1 ~ no",0.754995544995545,0.752156862745098,0.756001672484002
"4","euro_d >= 3 ~ yes, euro_d < 2 ~ no",0.755449398424716,0.7171624835958,0.780908231529959
"5","euro_d >= 3 ~ yes, euro_d < 3 ~ no",0.706696679939842,0.715193863074606,0.697224040139616
"6","euro_d >= 4 ~ yes, euro_d < 1 ~ no",0.774411764705882,0.787156862745098,0.768039215686275
"7","euro_d >= 4 ~ yes, euro_d < 2 ~ no",0.779387122172293,0.751669537401575,0.805392156862745
"8","euro_d >= 4 ~ yes, euro_d < 3 ~ no",0.74429199072179,0.750196861334152,0.735
"9","euro_d >= 4 ~ yes, euro_d < 4 ~ no",0.716884631758195,0.729600073431548,0.691666666666667
"10","euro_d >= 5 ~ yes, euro_d < 1 ~ no",0.791213163628024,0.783333333333333,0.796431880195444
"11","euro_d >= 5 ~ yes, euro_d < 2 ~ no",0.799271551392303,0.777836696194226,0.825887429405419
"12","euro_d >= 5 ~ yes, euro_d < 3 ~ no",0.760157985196679,0.754677577406286,0.771589567865981
"13","euro_d >= 5 ~ yes, euro_d < 4 ~ no",0.739258164130578,0.740097480380008,0.73705501618123
"14","euro_d >= 5 ~ yes, euro_d < 5 ~ no",0.712139755519066,0.707458745874587,0.725951519766483
"15","euro_d >= 6 ~ yes, euro_d < 1 ~ no",NA,NA,NA
"16","euro_d >= 6 ~ yes, euro_d < 2 ~ no",0.817451658037862,0.813532234251969,0.82547533708824
"17","euro_d >= 6 ~ yes, euro_d < 3 ~ no",0.783981529943922,0.782607608266421,0.788661887694146
"18","euro_d >= 6 ~ yes, euro_d < 4 ~ no",0.767814655736069,0.768651888567626,0.764205495818399
"19","euro_d >= 6 ~ yes, euro_d < 5 ~ no",0.743494523043142,0.742178217821782,0.749969278033794
"20","euro_d >= 6 ~ yes, euro_d < 6 ~ no",0.718766885709414,0.716614798743418,0.730582010582011
"21","euro_d >= 7 ~ yes, euro_d < 1 ~ no",NA,NA,NA
"22","euro_d >= 7 ~ yes, euro_d < 2 ~ no",NA,NA,NA
"23","euro_d >= 7 ~ yes, euro_d < 3 ~ no",NA,NA,NA
"24","euro_d >= 7 ~ yes, euro_d < 4 ~ no",NA,NA,NA
"25","euro_d >= 7 ~ yes, euro_d < 5 ~ no",NA,NA,NA
"26","euro_d >= 7 ~ yes, euro_d < 6 ~ no",NA,NA,NA
"27","euro_d >= 7 ~ yes, euro_d < 7 ~ no",NA,NA,NA
