"Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,43.5960591133005,0.555555555555556,0.801470588235294,0.847457627118644,0.475982532751092,0.637931034482759
"rpart",35,43.5960591133005,0.555555555555556,0.801470588235294,0.847457627118644,0.475982532751092,0.637931034482759
"rpart",40,54.9261083743842,0.685185185185185,0.720588235294118,0.829596412556054,0.53551912568306,0.697044334975369
"rpart",45,54.9261083743842,0.685185185185185,0.720588235294118,0.829596412556054,0.53551912568306,0.697044334975369
"rpart",50,54.9261083743842,0.685185185185185,0.720588235294118,0.829596412556054,0.53551912568306,0.697044334975369
"rpart",55,54.9261083743842,0.685185185185185,0.720588235294118,0.829596412556054,0.53551912568306,0.697044334975369
"rpart",60,61.576354679803,0.751851851851852,0.654411764705882,0.812,0.570512820512821,0.719211822660099
"rpart",65,73.8916256157635,0.848148148148148,0.477941176470588,0.763333333333333,0.613207547169811,0.724137931034483
"rpart",70,73.8916256157635,0.848148148148148,0.477941176470588,0.763333333333333,0.613207547169811,0.724137931034483
"rpart",75,73.8916256157635,0.848148148148148,0.477941176470588,0.763333333333333,0.613207547169811,0.724137931034483
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,32.7586206896552,0.407407407407407,0.830882352941177,0.827067669172932,0.413919413919414,0.549261083743842
"rpart",30,41.1330049261084,0.503703703703704,0.772058823529412,0.81437125748503,0.439330543933054,0.5935960591133
"rpart",35,41.1330049261084,0.503703703703704,0.772058823529412,0.81437125748503,0.439330543933054,0.5935960591133
"rpart",40,54.4334975369458,0.648148148148148,0.661764705882353,0.79185520361991,0.486486486486487,0.652709359605911
"rpart",45,54.4334975369458,0.648148148148148,0.661764705882353,0.79185520361991,0.486486486486487,0.652709359605911
"rpart",50,54.4334975369458,0.648148148148148,0.661764705882353,0.79185520361991,0.486486486486487,0.652709359605911
"rpart",55,54.4334975369458,0.648148148148148,0.661764705882353,0.79185520361991,0.486486486486487,0.652709359605911
"rpart",60,62.3152709359606,0.72962962962963,0.588235294117647,0.778656126482213,0.522875816993464,0.682266009852217
"rpart",65,73.1527093596059,0.818518518518519,0.441176470588235,0.744107744107744,0.55045871559633,0.692118226600985
"rpart",70,73.1527093596059,0.818518518518519,0.441176470588235,0.744107744107744,0.55045871559633,0.692118226600985
"rpart",75,73.1527093596059,0.818518518518519,0.441176470588235,0.744107744107744,0.55045871559633,0.692118226600985
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"rpart",40,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"rpart",45,63.0541871921182,0.777777777777778,0.661764705882353,0.8203125,0.6,0.738916256157635
"rpart",50,63.0541871921182,0.777777777777778,0.661764705882353,0.8203125,0.6,0.738916256157635
"rpart",55,63.0541871921182,0.777777777777778,0.661764705882353,0.8203125,0.6,0.738916256157635
"rpart",60,63.0541871921182,0.777777777777778,0.661764705882353,0.8203125,0.6,0.738916256157635
"rpart",65,71.4285714285714,0.862962962962963,0.580882352941177,0.803448275862069,0.681034482758621,0.768472906403941
"rpart",70,71.4285714285714,0.862962962962963,0.580882352941177,0.803448275862069,0.681034482758621,0.768472906403941
"rpart",75,78.5714285714286,0.918518518518519,0.477941176470588,0.77742946708464,0.747126436781609,0.770935960591133
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,37.192118226601,0.477777777777778,0.838235294117647,0.854304635761589,0.447058823529412,0.598522167487685
"rpart",30,37.192118226601,0.477777777777778,0.838235294117647,0.854304635761589,0.447058823529412,0.598522167487685
"rpart",35,37.192118226601,0.477777777777778,0.838235294117647,0.854304635761589,0.447058823529412,0.598522167487685
"rpart",40,56.6502463054187,0.7,0.698529411764706,0.821739130434783,0.539772727272727,0.699507389162562
"rpart",45,56.6502463054187,0.7,0.698529411764706,0.821739130434783,0.539772727272727,0.699507389162562
"rpart",50,56.6502463054187,0.7,0.698529411764706,0.821739130434783,0.539772727272727,0.699507389162562
"rpart",55,56.6502463054187,0.7,0.698529411764706,0.821739130434783,0.539772727272727,0.699507389162562
"rpart",60,56.6502463054187,0.7,0.698529411764706,0.821739130434783,0.539772727272727,0.699507389162562
"rpart",65,71.1822660098522,0.833333333333333,0.529411764705882,0.778546712802768,0.615384615384615,0.731527093596059
"rpart",70,71.1822660098522,0.833333333333333,0.529411764705882,0.778546712802768,0.615384615384615,0.731527093596059
"rpart",75,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,42.3645320197044,0.533333333333333,0.794117647058823,0.837209302325581,0.461538461538462,0.620689655172414
"rpart",35,42.3645320197044,0.533333333333333,0.794117647058823,0.837209302325581,0.461538461538462,0.620689655172414
"rpart",40,55.9113300492611,0.674074074074074,0.669117647058823,0.801762114537445,0.508379888268156,0.672413793103448
"rpart",45,55.9113300492611,0.674074074074074,0.669117647058823,0.801762114537445,0.508379888268156,0.672413793103448
"rpart",50,55.9113300492611,0.674074074074074,0.669117647058823,0.801762114537445,0.508379888268156,0.672413793103448
"rpart",55,55.9113300492611,0.674074074074074,0.669117647058823,0.801762114537445,0.508379888268156,0.672413793103448
"rpart",60,63.3004926108374,0.748148148148148,0.595588235294118,0.785992217898833,0.543624161073825,0.697044334975369
"rpart",65,71.6748768472906,0.825925925925926,0.5,0.766323024054983,0.591304347826087,0.716748768472906
"rpart",70,81.7733990147783,0.911111111111111,0.367647058823529,0.740963855421687,0.675675675675676,0.729064039408867
"rpart",75,81.7733990147783,0.911111111111111,0.367647058823529,0.740963855421687,0.675675675675676,0.729064039408867
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",10,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",15,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",20,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",25,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",30,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",35,57.5308641975309,0.702602230483271,0.676470588235294,0.811158798283262,0.534883720930233,0.693827160493827
"rpart",40,57.5308641975309,0.702602230483271,0.676470588235294,0.811158798283262,0.534883720930233,0.693827160493827
"rpart",45,57.5308641975309,0.702602230483271,0.676470588235294,0.811158798283262,0.534883720930233,0.693827160493827
"rpart",50,57.5308641975309,0.702602230483271,0.676470588235294,0.811158798283262,0.534883720930233,0.693827160493827
"rpart",55,67.6543209876543,0.810408921933085,0.588235294117647,0.795620437956204,0.610687022900763,0.735802469135802
"rpart",60,67.6543209876543,0.810408921933085,0.588235294117647,0.795620437956204,0.610687022900763,0.735802469135802
"rpart",65,67.6543209876543,0.810408921933085,0.588235294117647,0.795620437956204,0.610687022900763,0.735802469135802
"rpart",70,76.7901234567901,0.87360594795539,0.441176470588235,0.755627009646302,0.638297872340426,0.728395061728395
"rpart",75,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",80,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",85,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",90,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",95,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,50.9852216748768,0.625925925925926,0.720588235294118,0.816425120772947,0.492462311557789,0.657635467980296
"rpart",40,50.9852216748768,0.625925925925926,0.720588235294118,0.816425120772947,0.492462311557789,0.657635467980296
"rpart",45,63.7931034482759,0.774074074074074,0.632352941176471,0.806949806949807,0.585034013605442,0.726600985221675
"rpart",50,63.7931034482759,0.774074074074074,0.632352941176471,0.806949806949807,0.585034013605442,0.726600985221675
"rpart",55,63.7931034482759,0.774074074074074,0.632352941176471,0.806949806949807,0.585034013605442,0.726600985221675
"rpart",60,63.7931034482759,0.774074074074074,0.632352941176471,0.806949806949807,0.585034013605442,0.726600985221675
"rpart",65,63.7931034482759,0.774074074074074,0.632352941176471,0.806949806949807,0.585034013605442,0.726600985221675
"rpart",70,68.9655172413793,0.818518518518519,0.566176470588235,0.789285714285714,0.611111111111111,0.733990147783251
"rpart",75,68.9655172413793,0.818518518518519,0.566176470588235,0.789285714285714,0.611111111111111,0.733990147783251
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",10,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",15,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",20,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",25,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",30,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",35,53.0864197530864,0.669144981412639,0.742647058823529,0.837209302325581,0.531578947368421,0.693827160493827
