"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"1","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"2","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"3","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"4","rpart",20,57.8817733990148,0.711111111111111,0.683823529411765,0.817021276595745,0.543859649122807,0.701970443349754
"5","rpart",25,57.8817733990148,0.711111111111111,0.683823529411765,0.817021276595745,0.543859649122807,0.701970443349754
"6","rpart",30,57.8817733990148,0.711111111111111,0.683823529411765,0.817021276595745,0.543859649122807,0.701970443349754
"7","rpart",35,68.4729064039409,0.825925925925926,0.595588235294118,0.802158273381295,0.6328125,0.748768472906404
"8","rpart",40,68.4729064039409,0.825925925925926,0.595588235294118,0.802158273381295,0.6328125,0.748768472906404
"9","rpart",45,68.4729064039409,0.825925925925926,0.595588235294118,0.802158273381295,0.6328125,0.748768472906404
"10","rpart",50,68.4729064039409,0.825925925925926,0.595588235294118,0.802158273381295,0.6328125,0.748768472906404
"11","rpart",55,68.4729064039409,0.825925925925926,0.595588235294118,0.802158273381295,0.6328125,0.748768472906404
"12","rpart",60,80.0492610837438,0.888888888888889,0.375,0.738461538461538,0.62962962962963,0.716748768472906
"13","rpart",65,80.0492610837438,0.888888888888889,0.375,0.738461538461538,0.62962962962963,0.716748768472906
"14","rpart",70,97.7832512315271,0.988888888888889,0.0441176470588235,0.672544080604534,0.666666666666668,0.672413793103448
"15","rpart",75,97.7832512315271,0.988888888888889,0.0441176470588235,0.672544080604534,0.666666666666668,0.672413793103448
"16","rpart",80,97.7832512315271,0.988888888888889,0.0441176470588235,0.672544080604534,0.666666666666668,0.672413793103448
"17","rpart",85,97.7832512315271,0.988888888888889,0.0441176470588235,0.672544080604534,0.666666666666668,0.672413793103448
"18","rpart",90,97.7832512315271,0.988888888888889,0.0441176470588235,0.672544080604534,0.666666666666668,0.672413793103448
"19","rpart",95,99.7536945812808,0.996296296296296,0,0.664197530864198,0,0.66256157635468
"20","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"21","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"22","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"23","rpart",20,50.4926108374384,0.622222222222222,0.727941176470588,0.819512195121951,0.492537313432836,0.657635467980296
"24","rpart",25,50.4926108374384,0.622222222222222,0.727941176470588,0.819512195121951,0.492537313432836,0.657635467980296
"25","rpart",30,50.4926108374384,0.622222222222222,0.727941176470588,0.819512195121951,0.492537313432836,0.657635467980296
"26","rpart",35,50.4926108374384,0.622222222222222,0.727941176470588,0.819512195121951,0.492537313432836,0.657635467980296
"27","rpart",40,76.3546798029557,0.851851851851852,0.411764705882353,0.741935483870968,0.583333333333333,0.704433497536946
"28","rpart",45,76.3546798029557,0.851851851851852,0.411764705882353,0.741935483870968,0.583333333333333,0.704433497536946
"29","rpart",50,76.3546798029557,0.851851851851852,0.411764705882353,0.741935483870968,0.583333333333333,0.704433497536946
"30","rpart",55,76.3546798029557,0.851851851851852,0.411764705882353,0.741935483870968,0.583333333333333,0.704433497536946
"31","rpart",60,76.3546798029557,0.851851851851852,0.411764705882353,0.741935483870968,0.583333333333333,0.704433497536946
"32","rpart",65,91.871921182266,0.97037037037037,0.183823529411765,0.702412868632708,0.757575757575757,0.706896551724138
"33","rpart",70,91.871921182266,0.97037037037037,0.183823529411765,0.702412868632708,0.757575757575757,0.706896551724138
"34","rpart",75,91.871921182266,0.97037037037037,0.183823529411765,0.702412868632708,0.757575757575757,0.706896551724138
"35","rpart",80,91.871921182266,0.97037037037037,0.183823529411765,0.702412868632708,0.757575757575757,0.706896551724138
"36","rpart",85,91.871921182266,0.97037037037037,0.183823529411765,0.702412868632708,0.757575757575757,0.706896551724138
"37","rpart",90,91.871921182266,0.97037037037037,0.183823529411765,0.702412868632708,0.757575757575757,0.706896551724138
"38","rpart",95,99.2610837438424,0.992592592592593,0.00735294117647059,0.665012406947891,0.333333333333333,0.66256157635468
"39","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"40","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"41","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"42","rpart",20,50.9852216748768,0.603703703703704,0.676470588235294,0.78743961352657,0.462311557788945,0.62807881773399
"43","rpart",25,50.9852216748768,0.603703703703704,0.676470588235294,0.78743961352657,0.462311557788945,0.62807881773399
"44","rpart",30,66.7487684729064,0.792592592592593,0.580882352941177,0.789667896678967,0.585185185185185,0.721674876847291
"45","rpart",35,66.7487684729064,0.792592592592593,0.580882352941177,0.789667896678967,0.585185185185185,0.721674876847291
"46","rpart",40,66.7487684729064,0.792592592592593,0.580882352941177,0.789667896678967,0.585185185185185,0.721674876847291
"47","rpart",45,78.0788177339901,0.914814814814815,0.485294117647059,0.779179810725552,0.741573033707865,0.770935960591133
"48","rpart",50,78.0788177339901,0.914814814814815,0.485294117647059,0.779179810725552,0.741573033707865,0.770935960591133
"49","rpart",55,78.0788177339901,0.914814814814815,0.485294117647059,0.779179810725552,0.741573033707865,0.770935960591133
"50","rpart",60,78.0788177339901,0.914814814814815,0.485294117647059,0.779179810725552,0.741573033707865,0.770935960591133
"51","rpart",65,82.7586206896552,0.944444444444444,0.404411764705882,0.758928571428571,0.785714285714286,0.763546798029557
"52","rpart",70,82.7586206896552,0.944444444444444,0.404411764705882,0.758928571428571,0.785714285714286,0.763546798029557
"53","rpart",75,97.5369458128079,0.992592592592593,0.0588235294117647,0.676767676767677,0.8,0.679802955665025
"54","rpart",80,97.5369458128079,0.992592592592593,0.0588235294117647,0.676767676767677,0.8,0.679802955665025
"55","rpart",85,97.5369458128079,0.992592592592593,0.0588235294117647,0.676767676767677,0.8,0.679802955665025
"56","rpart",90,97.5369458128079,0.992592592592593,0.0588235294117647,0.676767676767677,0.8,0.679802955665025
"57","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"58","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"59","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"60","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"61","rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
