"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"1","rpart",0.05,0,NA,NA,NA,NA,NA
"2","rpart",0.1,0,NA,NA,NA,NA,NA
"3","rpart",0.15,0,NA,NA,NA,NA,NA
"4","rpart",0.2,0,NA,NA,NA,NA,NA
"5","rpart",0.25,0,NA,NA,NA,NA,NA
"6","rpart",0.3,0,NA,NA,NA,NA,NA
"7","rpart",0.35,0,NA,NA,NA,NA,NA
"8","rpart",0.4,0,NA,NA,NA,NA,NA
"9","rpart",0.45,0,NA,NA,NA,NA,NA
"10","rpart",0.5,0,NA,NA,NA,NA,NA
"11","rpart",0.55,0,NA,NA,NA,NA,NA
"12","rpart",0.6,0,NA,NA,NA,NA,NA
"13","rpart",0.65,0,NA,NA,NA,NA,NA
"14","rpart",0.7,0,NA,NA,NA,NA,NA
"15","rpart",0.75,0,NA,NA,NA,NA,NA
"16","rpart",0.8,0,NA,NA,NA,NA,NA
"17","rpart",0.85,0,NA,NA,NA,NA,NA
"18","rpart",0.9,0,NA,NA,NA,NA,NA
"19","rpart",0.95,0,NA,NA,NA,NA,NA
"20","rpart",0.05,0,NA,NA,NA,NA,NA
"21","rpart",0.1,0,NA,NA,NA,NA,NA
"22","rpart",0.15,0,NA,NA,NA,NA,NA
"23","rpart",0.2,0,NA,NA,NA,NA,NA
"24","rpart",0.25,0,NA,NA,NA,NA,NA
"25","rpart",0.3,0,NA,NA,NA,NA,NA
"26","rpart",0.35,0,NA,NA,NA,NA,NA
"27","rpart",0.4,0,NA,NA,NA,NA,NA
"28","rpart",0.45,0,NA,NA,NA,NA,NA
"29","rpart",0.5,0,NA,NA,NA,NA,NA
"30","rpart",0.55,0,NA,NA,NA,NA,NA
"31","rpart",0.6,0,NA,NA,NA,NA,NA
"32","rpart",0.65,0,NA,NA,NA,NA,NA
"33","rpart",0.7,0,NA,NA,NA,NA,NA
"34","rpart",0.75,0,NA,NA,NA,NA,NA
"35","rpart",0.8,0,NA,NA,NA,NA,NA
"36","rpart",0.85,0,NA,NA,NA,NA,NA
"37","rpart",0.9,0,NA,NA,NA,NA,NA
