"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"1","rpart",0.05,28.641975308642,0.402255639097744,0.935251798561151,0.922413793103448,0.449826989619377,0.585185185185185
"2","rpart",0.1,37.7777777777778,0.533834586466165,0.920863309352518,0.928104575163399,0.507936507936508,0.666666666666667
"3","rpart",0.15,60.9876543209877,0.774436090225564,0.705035971223022,0.834008097165992,0.620253164556962,0.750617283950617
"4","rpart",0.2,79.7530864197531,0.894736842105263,0.388489208633094,0.736842105263158,0.658536585365854,0.720987654320988
"5","rpart",0.25,79.7530864197531,0.894736842105263,0.388489208633094,0.736842105263158,0.658536585365854,0.720987654320988
"6","rpart",0.3,84.6913580246914,0.924812030075188,0.302158273381295,0.717201166180758,0.67741935483871,0.711111111111111
"7","rpart",0.35,100,1,0,0.65679012345679,NA,0.65679012345679
"8","rpart",0.4,100,1,0,0.65679012345679,NA,0.65679012345679
"9","rpart",0.45,100,1,0,0.65679012345679,NA,0.65679012345679
"10","rpart",0.5,100,1,0,0.65679012345679,NA,0.65679012345679
"11","rpart",0.55,100,1,0,0.65679012345679,NA,0.65679012345679
"12","rpart",0.6,100,1,0,0.65679012345679,NA,0.65679012345679
"13","rpart",0.65,100,1,0,0.65679012345679,NA,0.65679012345679
"14","rpart",0.7,100,1,0,0.65679012345679,NA,0.65679012345679
"15","rpart",0.75,100,1,0,0.65679012345679,NA,0.65679012345679
"16","rpart",0.8,100,1,0,0.65679012345679,NA,0.65679012345679
"17","rpart",0.85,100,1,0,0.65679012345679,NA,0.65679012345679
"18","rpart",0.9,100,1,0,0.65679012345679,NA,0.65679012345679
"19","rpart",0.95,100,1,0,0.65679012345679,NA,0.65679012345679
"20","rpart",0.05,24.6913580246914,0.344322344322344,0.954545454545455,0.94,0.413114754098361,0.54320987654321
"21","rpart",0.1,35.8024691358025,0.487179487179487,0.909090909090909,0.917241379310345,0.461538461538462,0.624691358024691
"22","rpart",0.15,65.1851851851852,0.765567765567766,0.583333333333333,0.791666666666667,0.546099290780142,0.706172839506173
