"Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,62.3152709359606,0.751851851851852,0.632352941176471,0.802371541501976,0.562091503267974,0.711822660098522
"rpart",40,62.3152709359606,0.751851851851852,0.632352941176471,0.802371541501976,0.562091503267974,0.711822660098522
"rpart",45,62.3152709359606,0.751851851851852,0.632352941176471,0.802371541501976,0.562091503267974,0.711822660098522
"rpart",50,62.3152709359606,0.751851851851852,0.632352941176471,0.802371541501976,0.562091503267974,0.711822660098522
"rpart",55,62.3152709359606,0.751851851851852,0.632352941176471,0.802371541501976,0.562091503267974,0.711822660098522
"rpart",60,62.3152709359606,0.751851851851852,0.632352941176471,0.802371541501976,0.562091503267974,0.711822660098522
"rpart",65,73.8916256157635,0.848148148148148,0.477941176470588,0.763333333333333,0.613207547169811,0.724137931034483
"rpart",70,73.8916256157635,0.848148148148148,0.477941176470588,0.763333333333333,0.613207547169811,0.724137931034483
"rpart",75,73.8916256157635,0.848148148148148,0.477941176470588,0.763333333333333,0.613207547169811,0.724137931034483
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,41.3793103448276,0.511111111111111,0.779411764705882,0.821428571428571,0.445378151260504,0.600985221674877
"rpart",35,41.3793103448276,0.511111111111111,0.779411764705882,0.821428571428571,0.445378151260504,0.600985221674877
"rpart",40,55.6650246305419,0.677777777777778,0.683823529411765,0.809734513274336,0.516666666666667,0.679802955665025
"rpart",45,55.6650246305419,0.677777777777778,0.683823529411765,0.809734513274336,0.516666666666667,0.679802955665025
"rpart",50,55.6650246305419,0.677777777777778,0.683823529411765,0.809734513274336,0.516666666666667,0.679802955665025
"rpart",55,55.6650246305419,0.677777777777778,0.683823529411765,0.809734513274336,0.516666666666667,0.679802955665025
"rpart",60,61.3300492610837,0.740740740740741,0.639705882352941,0.803212851405622,0.554140127388535,0.706896551724138
"rpart",65,61.3300492610837,0.740740740740741,0.639705882352941,0.803212851405622,0.554140127388535,0.706896551724138
"rpart",70,73.1527093596059,0.818518518518519,0.441176470588235,0.744107744107744,0.55045871559633,0.692118226600985
"rpart",75,73.1527093596059,0.818518518518519,0.441176470588235,0.744107744107744,0.55045871559633,0.692118226600985
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"rpart",40,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"rpart",45,62.5615763546798,0.785185185185185,0.691176470588235,0.834645669291339,0.618421052631579,0.753694581280788
"rpart",50,62.5615763546798,0.785185185185185,0.691176470588235,0.834645669291339,0.618421052631579,0.753694581280788
"rpart",55,62.5615763546798,0.785185185185185,0.691176470588235,0.834645669291339,0.618421052631579,0.753694581280788
"rpart",60,62.5615763546798,0.785185185185185,0.691176470588235,0.834645669291339,0.618421052631579,0.753694581280788
"rpart",65,62.5615763546798,0.785185185185185,0.691176470588235,0.834645669291339,0.618421052631579,0.753694581280788
"rpart",70,78.8177339901478,0.896296296296296,0.426470588235294,0.75625,0.674418604651163,0.738916256157635
"rpart",75,78.8177339901478,0.896296296296296,0.426470588235294,0.75625,0.674418604651163,0.738916256157635
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,59.35960591133,0.733333333333333,0.683823529411765,0.821576763485477,0.563636363636364,0.716748768472906
"rpart",40,59.35960591133,0.733333333333333,0.683823529411765,0.821576763485477,0.563636363636364,0.716748768472906
"rpart",45,59.35960591133,0.733333333333333,0.683823529411765,0.821576763485477,0.563636363636364,0.716748768472906
"rpart",50,59.35960591133,0.733333333333333,0.683823529411765,0.821576763485477,0.563636363636364,0.716748768472906
"rpart",55,59.35960591133,0.733333333333333,0.683823529411765,0.821576763485477,0.563636363636364,0.716748768472906
"rpart",60,68.2266009852217,0.822222222222222,0.595588235294118,0.8014440433213,0.627906976744186,0.746305418719212
"rpart",65,70.1970443349754,0.840740740740741,0.573529411764706,0.796491228070175,0.644628099173554,0.751231527093596
"rpart",70,70.1970443349754,0.840740740740741,0.573529411764706,0.796491228070175,0.644628099173554,0.751231527093596
"rpart",75,98.2758620689655,0.988888888888889,0.0294117647058824,0.669172932330827,0.571428571428572,0.667487684729064
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,49.7536945812808,0.607407407407407,0.720588235294118,0.811881188118812,0.480392156862745,0.645320197044335
"rpart",40,61.3300492610837,0.733333333333333,0.625,0.795180722891566,0.54140127388535,0.697044334975369
"rpart",45,61.3300492610837,0.733333333333333,0.625,0.795180722891566,0.54140127388535,0.697044334975369
"rpart",50,61.3300492610837,0.733333333333333,0.625,0.795180722891566,0.54140127388535,0.697044334975369
"rpart",55,61.3300492610837,0.733333333333333,0.625,0.795180722891566,0.54140127388535,0.697044334975369
"rpart",60,61.3300492610837,0.733333333333333,0.625,0.795180722891566,0.54140127388535,0.697044334975369
"rpart",65,61.3300492610837,0.733333333333333,0.625,0.795180722891566,0.54140127388535,0.697044334975369
"rpart",70,68.4729064039409,0.792592592592593,0.529411764705882,0.76978417266187,0.5625,0.704433497536946
"rpart",75,68.4729064039409,0.792592592592593,0.529411764705882,0.76978417266187,0.5625,0.704433497536946
"rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",10,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",15,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",20,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",25,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",30,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",35,59.7530864197531,0.728624535315985,0.661764705882353,0.809917355371901,0.552147239263804,0.706172839506173
"rpart",40,59.7530864197531,0.728624535315985,0.661764705882353,0.809917355371901,0.552147239263804,0.706172839506173
"rpart",45,59.7530864197531,0.728624535315985,0.661764705882353,0.809917355371901,0.552147239263804,0.706172839506173
"rpart",50,59.7530864197531,0.728624535315985,0.661764705882353,0.809917355371901,0.552147239263804,0.706172839506173
"rpart",55,59.7530864197531,0.728624535315985,0.661764705882353,0.809917355371901,0.552147239263804,0.706172839506173
"rpart",60,67.6543209876543,0.810408921933085,0.588235294117647,0.795620437956204,0.610687022900763,0.735802469135802
"rpart",65,67.6543209876543,0.810408921933085,0.588235294117647,0.795620437956204,0.610687022900763,0.735802469135802
"rpart",70,76.7901234567901,0.87360594795539,0.441176470588235,0.755627009646302,0.638297872340426,0.728395061728395
"rpart",75,76.7901234567901,0.87360594795539,0.441176470588235,0.755627009646302,0.638297872340426,0.728395061728395
"rpart",80,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",85,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",90,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",95,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,50.9852216748768,0.625925925925926,0.720588235294118,0.816425120772947,0.492462311557789,0.657635467980296
"rpart",40,60.8374384236453,0.751851851851852,0.676470588235294,0.821862348178138,0.578616352201258,0.726600985221675
"rpart",45,60.8374384236453,0.751851851851852,0.676470588235294,0.821862348178138,0.578616352201258,0.726600985221675
"rpart",50,60.8374384236453,0.751851851851852,0.676470588235294,0.821862348178138,0.578616352201258,0.726600985221675
"rpart",55,60.8374384236453,0.751851851851852,0.676470588235294,0.821862348178138,0.578616352201258,0.726600985221675
"rpart",60,66.7487684729064,0.8,0.595588235294118,0.797047970479705,0.6,0.731527093596059
"rpart",65,66.7487684729064,0.8,0.595588235294118,0.797047970479705,0.6,0.731527093596059
"rpart",70,66.7487684729064,0.8,0.595588235294118,0.797047970479705,0.6,0.731527093596059
"rpart",75,66.7487684729064,0.8,0.595588235294118,0.797047970479705,0.6,0.731527093596059
"rpart",80,97.7832512315271,0.981481481481482,0.0294117647058824,0.667506297229219,0.444444444444445,0.66256157635468
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",10,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",15,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",20,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",25,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",30,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",35,53.0864197530864,0.669144981412639,0.742647058823529,0.837209302325581,0.531578947368421,0.693827160493827
"rpart",40,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
